message,source,date,views
"Утвердили график переноса выходных в 2023 году

Праздничные дни 1 и 8 января совпали с выходными. Их перенесли на 24 февраля и 8 мая. С учетом этого отдохнем:
31 декабря – 8 января;
23–26 февраля;
8 марта;
29 апреля – 1 мая;
6-9 мая;
10-12 июня;
4-6 ноября.

Документы:
Информация с сайта Правительства РФ от 30.08.2022 
Постановление Правительства РФ от 29.08.2022 № 1505

Посмотреть информацию о количестве рабочих и выходных дней в 2023 году всегда можно в системе КонсультантПлюс в Производственном календаре для пятидневной и шестидневной рабочей недели.
В календаре также приводятся нормы рабочего времени в часах для разных режимов работы.

Получить бесплатный пробный доступ к КонсультантПлюс https://login.consultant.ru/demo-access/",https://t.me/consultant_plus,1661864331.0,9914
"Ключевую ставку продолжают снижать

С 25 июля ключевая ставка равна 8%, что на 1,5 процентных пункта ниже предыдущего значения. Такое решение Банк России принял на очередном заседании.

Вновь обратиться к этому вопросу ЦБ РФ планирует 16 сентября.

Информация Банка России от 22.07.2022

Получить бесплатный пробный доступ к КонсультантПлюс https://login.consultant.ru/demo-access/",https://t.me/consultant_plus,1658489652.0,10070
"Попробуйте свои силы в рубрике «Вопрос на засыпку».
Выберите один из предложенных вариантов. Ответ и обоснование опубликуем в понедельник.",https://t.me/consultant_plus,1657290898.0,7678
"Попробуйте свои силы в рубрике «Вопрос на засыпку».
Выберите один из предложенных вариантов. Ответ и обоснование опубликуем в понедельник.",https://t.me/consultant_plus,1656681442.0,8092
"Попробуйте свои силы в рубрике «Вопрос на засыпку».
Выберите один из предложенных вариантов. Ответ и обоснование опубликуем в понедельник.",https://t.me/consultant_plus,1654262180.0,8388
"Как юристам, бухгалтерам и кадровикам работать с учетом антикризисных мер

Антикризисные меры и ограничения не только поставили перед специалистами новые вопросы, но и повлияли на выполнение традиционных, рутинных задач. Например, юристам нужно разобраться с временными корпоративными правилами, бухгалтерам — с учетом льготных кредитов, специалистам по кадрам — с новой процедурой временного перевода работника в другую компанию.

Быстро сориентироваться, как выполнять ту или иную задачу, помогут новые обзоры в системе КонсультантПлюс:
Как юристу работать с учетом антикризисных мер 2022
Как бухгалтеру работать с учетом антикризисных мер 2022
Как кадровому специалисту работать с учетом антикризисных мер 2022
Как кадровому специалисту учреждения работать с учетом антикризисных мер 2022

По каждой задаче вы найдете краткое описание и подборку всех необходимых готовых решений и других материалов.

#антикризисныемеры2022",https://t.me/consultant_plus,1654181463.0,7634
"Как работаем и отдыхаем в июне

В этом году День России 12 июня выпадает на воскресенье, поэтому понедельник 13 июня – выходной.

Как отдыхаем в 2022 году, можно посмотреть в системе КонсультантПлюс в производственном календаре для 5-дневной или 6-дневной рабочей недели.

Получить бесплатный пробный доступ к КонсультантПлюс https://login.consultant.ru/demo-access/",https://t.me/consultant_plus,1654159034.0,7831
"Попробуйте свои силы в рубрике «Вопрос на засыпку».
Выберите один из предложенных вариантов. Ответ и обоснование опубликуем в понедельник.",https://t.me/consultant_plus,1653658350.0,7787
"ЦБ РФ снова снизил ключевую ставку

На внеплановом заседании Банк России понизил с 27 мая ключевую ставку до 11%. Это на 3 процентных пункта ниже предыдущего значения. С начала апреля ставку снижают уже третий раз.

Информация Банка России от 26.05.2022

Получить бесплатный пробный доступ к КонсультантПлюс https://login.consultant.ru/demo-access/",https://t.me/consultant_plus,1653556705.0,7528
Поздравляем всех сотрудников кадровых служб с профессиональным праздником!,https://t.me/consultant_plus,1653376644.0,6760
"Попробуйте свои силы в рубрике «Вопрос на засыпку».
Выберите один из предложенных вариантов. Ответ и обоснование опубликуем в понедельник.",https://t.me/consultant_plus,1652449166.0,8630
"Поздравляем с Днем Победы!

Бессмертен подвиг советского народа. Светлая память всем, кто защищал нашу Родину.

В этот день хотим пожелать вам и вашим близким добра, благополучия, здоровья!

Ваш КонсультантПлюс.",https://t.me/consultant_plus,1652074689.0,9579
"Поздравляем с праздником!

Пусть работа приносит радость и благополучие!

Желаем хороших выходных!",https://t.me/consultant_plus,1651385882.0,9789
